Area,All,HIV,Malignant,Diabetes,Alzheimer,Heart ,TIA,Influenza,Respiratory Diseases,Liver,Nephritis,Accidents,Vehicle Accidents,Suicide ,Assault,Firearms,Population,Area km2,Region,Division,ANSI
New Hampshire,10194.00,13.00,2549.00,310.00,376.00,2530.00,497.00,273.00,630.00,114.00,173.00,477.00,162.00,162.00,19.00,88.00,1309940.00,23187.00,Northeast,New England,NH
New Jersey,71963.00,604.00,17171.00,2540.00,1815.00,20655.00,3614.00,1637.00,3148.00,730.00,1597.00,2561.00,760.00,536.00,427.00,434.00,8717925.00,19047.00,Northeast,Mid Atlantic,NJ
New Mexico,14983.00,34.00,3141.00,595.00,327.00,3435.00,730.00,353.00,855.00,285.00,239.00,1267.00,461.00,342.00,152.00,267.00,1928384.00,314161.00,West,Mountain,NM
New York,152427.00,1644.00,35556.00,4051.00,2065.00,51985.00,6622.00,5521.00,6818.00,1224.00,2360.00,4645.00,1530.00,1189.00,901.00,1019.00,19254630.00,122057.00,Northeast,Mid Atlantic,NY
North Carolina,74638.00,416.00,16724.00,2261.00,2417.00,17765.00,4861.00,1830.00,4149.00,782.00,1561.00,4123.00,1666.00,1009.00,661.00,1119.00,8683242.00,125920.00,South,S Atlantic,NC
North Dakota,5744.00,3.00,1302.00,204.00,287.00,1512.00,368.00,172.00,272.00,68.00,67.00,287.00,130.00,92.00,11.00,61.00,636677.00,178711.00,Midwest,W N Central,ND
Ohio,109031.00,223.00,24702.00,3794.00,3478.00,29003.00,6279.00,2416.00,6580.00,1105.00,1902.00,4438.00,1404.00,1341.00,630.00,1116.00,11464042.00,105829.00,Midwest,E N Central,OH
Oklahoma,36180.00,93.00,7446.00,1217.00,1012.00,10043.00,2235.00,948.00,2368.00,428.00,564.00,2005.00,833.00,522.00,214.00,468.00,3547884.00,177660.00,South,W S Central,OK
Oregon,31091.00,57.00,7326.00,1149.00,1239.00,6791.00,2289.00,614.00,1837.00,394.00,295.00,1469.00,512.00,560.00,102.00,402.00,3641056.00,248608.00,West,Pacific,OR
Pennsylvania,129532.00,360.00,29616.00,3553.00,3429.00,36207.00,7650.00,3068.00,6149.00,1058.00,3108.00,5446.00,1771.00,1430.00,749.00,1352.00,12429616.00,115883.00,Northeast,Mid Atlantic,PA
Rhode Island,10007.00,23.00,2292.00,282.00,298.00,3005.00,533.00,253.00,523.00,107.00,156.00,334.00,87.00,71.00,32.00,39.00,1076189.00,2678.00,Northeast,New England,RI
South Carolina,38707.00,249.00,8652.00,1187.00,1316.00,9359.00,2458.00,771.00,1977.00,480.00,823.00,2272.00,1071.00,510.00,337.00,589.00,4255083.00,77857.00,South,S Atlantic,SC
South Dakota,7086.00,6.00,1612.00,241.00,290.00,1776.00,511.00,241.00,440.00,83.00,55.00,402.00,176.00,121.00,22.00,82.00,775933.00,196350.00,Midwest,W N Central,SD
Tennessee,57260.00,281.00,12995.00,1844.00,2033.00,14946.00,3659.00,1588.00,3185.00,631.00,719.00,3147.00,1308.00,856.00,495.00,976.00,5962959.00,106798.00,South,E S Central,TN
Texas,156457.00,980.00,34291.00,5605.00,4629.00,40152.00,9366.00,3654.00,7988.00,2459.00,2729.00,8598.00,3780.00,2418.00,1501.00,2490.00,22859968.00,676587.00,South,W S Central,TX
Utah,13432.00,15.00,2520.00,541.00,368.00,2872.00,794.00,333.00,592.00,127.00,177.00,743.00,319.00,348.00,63.00,227.00,2469585.00,212818.00,West,Mountain,UT
Vermont,5066.00,7.00,1202.00,173.00,184.00,1234.00,260.00,97.00,381.00,48.00,52.00,272.00,82.00,78.00,12.00,44.00,623050.00,23871.00,Northeast,New England,VT
Virginia,57855.00,233.00,13877.00,1642.00,1550.00,14192.00,3675.00,1464.00,2897.00,570.00,1277.00,2638.00,969.00,866.00,490.00,888.00,7567465.00,102279.00,South,S Atlantic,VA
Washington,46203.00,138.00,11048.00,1554.00,2309.00,10985.00,2895.00,927.00,2699.00,558.00,450.00,2543.00,762.00,822.00,231.00,567.00,6287759.00,172119.00,West,Pacific,WA
West Virginia,20780.00,22.00,4617.00,766.00,504.00,5538.00,1151.00,458.00,1350.00,213.00,442.00,940.00,403.00,255.00,93.00,261.00,1816856.00,62259.00,South,S Atlantic,WV
Wisconsin,46709.00,60.00,10943.00,1276.00,1512.00,11842.00,2960.00,1268.00,2449.00,467.00,930.00,2490.00,870.00,643.00,236.00,474.00,5536201.00,140268.00,Midwest,E N Central,WI
Wyoming,4099.00,5.00,886.00,130.00,110.00,952.00,221.00,119.00,291.00,60.00,66.00,302.00,155.00,90.00,16.00,71.00,509294.00,251470.00,West,Mountain,WY
Puerto Rico,29531.00,519.00,4837.00,2790.00,1397.00,6112.00,1525.00,1081.00,1215.00,230.00,941.00,1120.00,426.00,290.00,765.00,730.00,3912054.00,8868.00,Other,Other,PR
Virgin Islands,663.00,7.00,124.00,42.00,9.00,205.00,37.00,13.00,13.00,12.00,11.00,24.00,4.00,2.00,37.00,30.00,115000.00,348.00,Other,Other,VI
Guam,677.00,1.00,95.00,34.00,3.00,208.00,62.00,11.00,21.00,11.00,10.00,45.00,25.00,27.00,7.00,5.00,170000.00,543.00,Other,Other,GU
American Samoa,272.00,0.00,36.00,32.00,0.00,45.00,23.00,12.00,21.00,0.00,4.00,16.00,3.00,0.00,2.00,1.00,58000.00,198.00,Other,Other,AS
Northern Marianas,186.00,0.00,27.00,15.00,1.00,42.00,6.00,2.00,7.00,5.00,6.00,18.00,11.00,3.00,5.00,1.00,83000.00,472.00,Other,Other,MP
