title;abstract
Population-based seroprevalence surveys of anti-SARS-CoV-2 antibody: An up-to-date review;Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the causative agent of coronavirus disease 2019 (COVID-19), has led to a global pandemic. However, the majority of currently available data are restricted to laboratory-confirmed cases for symptomatic patients, and the SARS-CoV-2 infection can manifest as an asymptomatic or mild disease. Therefore, the true extent of the burden of COVID-19 may be underestimated. Improved serological detection of specific antibodies against SARS-CoV-2 could help estimate the true numbers of infections. This article comprehensively reviews the associated literature and provides updated information regarding the seroprevalence of the anti-SARS-CoV-2 antibody. The seroprevalence can vary across different sites and the seroprevalence can increase with time during longitudinal follow-up. Although healthcare workers (HCWs), especially those caring for COVID-19 patients, are considered as a high-risk group, the seroprevalence in HCWs wearing adequate personal protective equipment is thought to be no higher than that in other groups. With regard to sex, no statistically significant difference has been found between male and female subjects. Some, but not all, studies have shown that children have a lower risk than other age groups. Finally, seroprevalence can vary according to different populations, such as pregnant women and hemodialysis patients
The spread of 2019-nCoV in China was primarily driven by population density. Comment on “Association between short-term exposure to air pollution and COVID-19 infection: Evidence from China” by Zhu et al.;Recently, an article published in the journal 
Longitudinal anti-SARS-CoV-2 antibody profile and neutralization activity of a COVID-19 patient;We followed–up a mild COVID-19 patient for 91 days and serially monitored his serum antibodies to four SARS-CoV-2 related antigens (NP, RBD, S1 and ECD) and neutralization activities. Our data revealed a profile of serial antibody responses during the progress and a quick decline of neutralization activities after discharge.
Adjusting RT-qPCR conditions to avoid unspecific amplification in SARS-CoV-2 diagnostic;The SARS-CoV-2 emerged in December 2019 and quickly spread around the world forcing global health authorities to develop protocols for its diagnosis. Here we report dimer formation in the N2 primers-probe set (CDC 2019-nCoV Real-Time RT-PCR) used in diagnostic routine, and propose alternatives to reduce dimerization events. Late unspecific amplifications were visualized in 56.4% and 57.1% of negative samples and no-template control, respectively, but not in positive samples and positive control. 
Clinical characteristics and changes of chest CT features in 307 patients with common COVID-19 pneumonia infected SARS-CoV-2: A multicenter study in Jiangsu, China;The study was aimed to describe the clinical characteristics and evaluate the dynamic changes of chest CT features in the first three weeks in the common type fo COVID-19 pneumonia patients in Jiangsu Province.
COVID-19 patients display distinct SARS-CoV-2 specific T-cell responses according to disease severity;Adaptive Immune responses generated by SARS-CoV-2 virus in convalescent patients according to disease severity remain poorly characterized. To this end, we designed a prospective study (NCT04365322) that included 60 COVID-19 convalescent patients (1-month post infection) in two cohorts respectively entitled mild illness and severe pneumonia. The monitoring of peripheral immune responses was performed using IFNᵧ ELISpot assay. The serology index of each patient was investigated at the same time. Patients with severe pneumonia were older and had more comorbidities than patients with mild illness. T-cell responses in term of frequency and intensity were clearly distinct between mild illness and severe pneumonia patients. Furthermore, our results demonstrated that recent history of COVID-19 did not hamper viral memory T-cell pool against common viruses (Cytomegalovirus, Epstein-Barr-virus and Flu-virus). The presence of potent adaptive immunity even in patients who underwent severe pneumonia sustain the rationale for the development of protective therapeutics against SARS-CoV-2.
Ketonuria with or without ketoacidosis as the presenting manifestation of SARS-CoV-2 (COVID-19) among uncontrolled type 2 diabetic patients;We present three diabetic patients cases presented with kentonuria as the presenting manifestation of SARS-CoV-2 infection.
A genetic barcode of SARS-CoV-2 for monitoring global distribution of different clades during the COVID-19 pandemic;The SARS-CoV-2 pathogen has established endemicity in humans. This necessitates the development of rapid genetic surveillance methodologies to serve as an adjunct with existing comprehensive, albeit though slower, genome sequencing-driven approaches.
Field Evaluation of the Performance of a SARS-CoV-2 Antigen Rapid Diagnostic Test in Uganda using Nasopharyngeal Samples;There is a high demand for SARS-CoV-2 testing to identify COVID-19 cases. Real-time, quantitative PCR (qRT-PCR) is the recommended diagnostic test but a number of constraints, including cost prevent its widespread implementation. The aim of this study was to evaluate a low cost, easy-to-use rapid antigen test for diagnosing COVID-19 at the point-of-care.
Spironolactone may provide protection from SARS-CoV-2: Targeting androgens, angiotensin converting enzyme 2 (ACE2), and renin-angiotensin-aldosterone system (RAAS);In coronavirus disease-19 (COVID-19), four major factors have been correlated with worse prognosis: aging, hypertension, obesity, and exposure to androgen hormones. Angiotensin-converting enzyme-2 (ACE2) receptor, regulation of the renin-angiotensin-aldosterone system (RAAS), and transmembrane serine protease 2 (TMPRSS2) action are critical for the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) cell entry and infectivity. ACE2 expression and RAAS are abnormal in hypertension and obesity, while TMPRSS2 is overexpressed when exposed to androgens, which may justify why these factors are overrepresented in COVID-19.
Understanding air and water borne transmission and survival of coronavirus: Insights and way forward for SARS-CoV-2;The ongoing pandemic of coronavirus disease 2019 (COVID-19) caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has resulted in unprecedented disease burden, healthcare costs, and economic impacts worldwide. Despite several measures, SARS-CoV-2 has been extremely impactful due to its extraordinary infection potential mainly through coronavirus-borne saliva respiratory and droplet nuclei of an infected person and its considerable stability on surfaces. Although the disease has affected over 180 countries, its extent and control are significantly different across the globe, making it a strong case for exploration of its behavior and dependence across various environmental pathways and its interactions with the virus. This has spurred efforts to characterize the coronavirus and understand the factors impacting its transmission and survival such as aerosols, air quality, meteorology, chemical compositions and characteristics of particles and surfaces, which are directly or indirectly associated with coronaviruses infection spread. Nonetheless, many peer-reviewed articles have studied these aspects but mostly in isolation
Current approaches in laboratory testing for SARS-CoV-2;The outbreak of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which began in Wuhan, Hubei Province, China, has rapidly spread to produce a global pandemic. It is now clear that person-to-person transmission of SARS-CoV-2 has been occurring and that the virus has been dramatically growing in recent months. Early, rapid and accurate diagnosis is of great significance for curtailing the spread of SARS-CoV-2. There are currently several diagnostic techniques (e.g. viral culture and nucleic acid amplification test) being used to detect the virus. However, the sensitivity and specificity of these methods are quite different, with the sample source and detection limit varying greatly. This study reviewed all types and characteristics of the currently available laboratory diagnostic assays for detecting SARS-CoV-2 infection and summarized the selection strategies of testing and sampling sites at different disease stages to improve the diagnostic accuracy of Coronavirus Disease 2019 (COVID-19).
Recreational waters – A potential transmission route for SARS-CoV-2 to humans?;Coronavirus disease 2019 (COVID-19), the respiratory illness caused by the novel virus, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which has lead to high morbidity and mortality rates worldwide, has been causing major public health concerns since first detected in late 2019. Following identification of novel pathogens, questions in relation to dissemination of the pathogen and transmission routes begin to emerge. This rapidly spreading SARS-CoV-2 virus has been detected in both faecal and wastewater samples across the globe, highlighting the potential for faecal-oral transmission of the virus. As a result, concerns regarding the transmission of the virus in the environment and the risk associated with contracting the virus in recreational waters, particularly where inadequately treated wastewater is discharged, have been emerging in recent weeks. This paper highlights the need for further research to be carried out to investigate the presence, infectivity and viability of this newly identified SARS-CoV-2 virus in wastewater effluent and receiving recreational waters.
Effectiveness of isolation, testing, contact tracing, and physical distancing on reducing transmission of SARS-CoV-2 in different settings: a mathematical modelling study;The isolation of symptomatic cases and tracing of contacts has been used as an early COVID-19 containment measure in many countries, with additional physical distancing measures also introduced as outbreaks have grown. To maintain control of infection while also reducing disruption to populations, there is a need to understand what combination of measures—including novel digital tracing approaches and less intensive physical distancing—might be required to reduce transmission. We aimed to estimate the reduction in transmission under different control measures across settings and how many contacts would be quarantined per day in different strategies for a given level of symptomatic case incidence.
SARS-CoV-2 and miRNA-like inhibition power;(1) Background: RNA viruses and especially coronaviruses could act inside host cells not only by building their own proteins, but also by perturbing the cell metabolism. We show the possibility of miRNA-like inhibitions by the SARS-CoV-2 concerning for example the hemoglobin and type I interferons syntheses, hence highly perturbing oxygen distribution in vital organs and immune response as described by clinicians
Serological cross-reactivity using a SARS-CoV-2 ELISA test in acute Zika virus infection, Colombia;We investigated seroreactivity by using a commercial SARS-CoV-2 ELISA test in samples collected from different groups of individuals, including patients diagnosed to have Dengue, Zika, and Chikungunya infection between 2015 and 2019, from an endemic area in the Caribbean Colombian region.
The role of community-wide wearing of face mask for control of coronavirus disease 2019 (COVID-19) epidemic due to SARS-CoV-2;Face mask usage by the healthy population in the community to reduce risk of transmission of respiratory viruses remains controversial. We assessed the effect of community-wide mask usage to control coronavirus disease 2019 (COVID-19) in Hong Kong Special Administrative Region (HKSAR).
Efficacy of a novel SARS-CoV-2 detection kit without RNA extraction and purification;Rapid detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is critical for the diagnosis of coronavirus disease 2019 (COVID-19) and preventing the spread of the virus. A novel detection kit – the 2019 Novel Coronavirus Detection Kit (nCoV-DK) – halves the detection time by eliminating the steps of RNA extraction and purification. We evaluated the concordance between the nCoV-DK and direct PCR. The virus was detected in 53/71 specimens (74.6%) by direct PCR and in 55/71 specimens (77.5%) by nCoV-DK
SARS‐CoV‐2 infection and impact on female genital tract: An untested hypothesis;COVID pandemic consists one of the most challenging medical realities. Apart from affecting respiratory system, current evidence has demonstrated multiorgan manifestations that SARS-Cov-2 infection may actually have. However, one of the medical hypotheses not yet thoroughly tested is the impact on female reproductive system and more specifically cervix. No large observational studies have been performed to test presence of SARS-Cov-2 in cervical samples, while potential correlation and impact on HPV infection has not yet been examined. In this context, our research team has already planned to begin a prospective observational study regarding detection rates of SARS-CoV-2 genetic material in cervical cytology. The collected specimen will be analyzed for the presence of COVID-19 genetic material and in case of positive results, HPV typing will be performed as well in order to detect potential correlations between SARS-CoV-2 infection and HPV-infection. We would therefore like to launch our idea to control for SARS-CoV-2 infection in cervical specimen as well as examine potential correlation with HPV infection. Potential scientific proof of such hypothesis would change much regarding follow-up of HPV-positive patients while also triggering further research regarding aitiopathogenetic pathways of COVID. Communication of such a medical hypothesis could potentially motivate colleagues worldwide to expand their interest also on the research of SARS-CoV-2 cervical infection, in an effort to optimize our level of knowledge towards this new threatening and unknown reality of SARS-CoV-2.
Spillover of SARS-CoV-2 into novel wild hosts in North America: A conceptual model for perpetuation of the pathogen;There is evidence that the current outbreak of the novel coronavirus SARS-CoV-2, which causes COVID-19, is of animal origin. As with a number of zoonotic pathogens, there is a risk of spillover into novel hosts. Here, we propose a hypothesized conceptual model that illustrates the mechanism whereby the SARS-CoV-2 could spillover from infected humans to naive wildlife hosts in North America. This proposed model is premised on transmission of SARS-CoV-2 from human feces through municipal waste water treatment plants into the natural aquatic environment where potential wildlife hosts become infected. We use the existing literature on human coronaviruses, including SARS CoV, to support the potential pathways and mechanisms in the conceptual model. Although we focus on North America, our conceptual model could apply to other parts of the globe as well.
Risk assessment of SARS-CoV-2 in Antarctic wildlife;The coronavirus disease 2019 (COVID-19) pandemic is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). This pathogen has spread rapidly across the world, causing high numbers of deaths and significant social and economic impacts. SARS-CoV-2 is a novel coronavirus with a suggested zoonotic origin with the potential for cross-species transmission among animals. Antarctica can be considered the only continent free of SARS-CoV-2. Therefore, concerns have been expressed regarding the potential human introduction of this virus to the continent through the activities of research or tourism to minimise the effects on human health, and the potential for virus transmission to Antarctic wildlife. We assess the reverse-zoonotic transmission risk to Antarctic wildlife by considering the available information on host susceptibility, dynamics of the infection in humans, and contact interactions between humans and Antarctic wildlife. The environmental conditions in Antarctica seem to be favourable for the virus stability. Indoor spaces such as those at research stations, research vessels or tourist cruise ships could allow for more transmission among humans and depending on their movements between different locations the virus could be spread across the continent. Among Antarctic wildlife previous in silico analyses suggested that cetaceans are at greater risk of infection whereas seals and birds appear to be at a low infection risk. However, caution needed until further research is carried out and consequently, the precautionary principle should be applied. Field researchers handling animals are identified as the human group posing the highest risk of transmission to animals while tourists and other personnel pose a significant risk only when in close proximity (< 5 m) to Antarctic fauna. We highlight measures to reduce the risk as well as identify of knowledge gaps related to this issue.
Self-reported loss of smell without nasal obstruction to identify COVID-19. The multicenter Coranosmia cohort study;To determine the frequency of SARS-CoV-2 positive samples in a subset of patients consulting for primarily isolated acute (<7 days) loss of smell and to assess the diagnostic accuracy of olfactory/gustatory dysfunction for COVID-19 diagnosis in the overall population tested for COVID-19 in the same period.
Persistent SARS-CoV-2 infection and the risk for cancer;The current SARS-CoV-2 has put significant strain on healthcare services worldwide due to acute COVID-19. However, the potential long-term effects of this infection haven’t been extensively discussed.
Environmental contamination of SARS-CoV-2 in healthcare premises;A large number of healthcare workers (HCWs) were infected by SARS-CoV-2 during the ongoing outbreak of COVID-19 in Wuhan, China. Hospitals are significant epicenters for the human-to-human transmission of the SARS-CoV-2 for HCWs, patients, and visitors. No data has been reported on the details of hospital environmental contamination status in the epicenter of Wuhan.
Air and surface contamination by SARS-CoV-2 virus in a tertiary hospital in Wuhan, China;Few studies have explored air and surface contamination by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in healthcare settings.
Pit latrines may be a potential risk in rural China and low-income countries when dealing with COVID-19;According to the latest reports, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which caused coronavirus disease 2019 (COVID-19), was successfully isolated from the excreta (stool and urine) of COVID-19 patients, suggesting SARS-CoV-2 could be transmitted through excreta contaminated water. As pit latrines and the use of untreated excreta as fertilizer were common in rural China, we surveyed 27 villages of Jiangxi and Hubei provinces and found that pit latrines could be a potential source of SARS-CoV-2 water pollution. Recently, bats have been widely recognized as the source of SARS-CoV-2. There were many possible intermediate hosts of SARS-CoV-2, including pangolin, snake, bird and fish, but which one was still not clear exactly. Here, we proposed a hypothesis to illustrate the mechanism that SARS-CoV-2 might spread from the excreta of infected humans in pit latrines to potential animal hosts, thus becoming a sustainable source of infection in rural China. Therefore, we believe that abolishing pit latrines and banning the use of untreated excreta as fertilizer can improve the local living environment and effectively prevent COVID-19 and other potential waterborne diseases that could emanate from the excreta of infected persons. Although this study focused on rural areas in China, the results could also be applied to low-income countries, especially in Africa.
Serum albumin-mediated strategy for the effective targeting of SARS-CoV-2;Novel coronavirus (NCoV-19), also known as SARS CoV-2, is a pathogen causing an emerging infection that rapidly increases in incidence and geographic range, is associated with the ever-increasing morbidity and mortality rates, and shows sever economic impact worldwide. The WHO declares the NCoV-19 infection disease (COVID-19) a Public Health Emergency of International Concern on 30 January 2020 and subsequently, on March 11, 2020, declared it a Global Pandemic. Although some people infected with SARS CoV-2 have no symptoms, the spectrum of symptomatic infection ranges from mild to critical, with most COVID-19 infections being not severe. The common mild symptoms include body aches, dry cough, fatigue, low-grade fever, nasal congestion, and sore throat. More severe COVID-19 symptoms are typical of pneumonia, and upon progression, the patient’s condition can worsen with severe respiratory and cardiac problems. Currently, there is no drug or vaccine for curing patients. It has been observed that people with challenged immunity are highly prone to SARS CoV-2 infection and least likely to recover. Also, older adults and people of any age with serious underlying medical conditions might be at higher risk for severe forms of COVID-19. We are suggesting here a strategy for the COVID-19 treatment that could be effective in curing the patients in the current scenario when no efficient medicine or Vaccine is currently available, and Clinicians solely depend upon the performing trials with drugs with known antiviral activities. Our proposed strategy is based on the compilation of published scientific research and concepts. The different published research indicates the success of a similar strategy in different physiological conditions, and such a strategy is widely studied at the cellular level and in animal models.
The assessment of transmission efficiency and latent infection period in asymptomatic carriers of SARS-CoV-2 infection;Few studies have focused on the transmission efficiency of asymptomatic carriers of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection. Our follow-up study was performed on 147 asymptomatic carriers in Anhui Province. Of these, 50.0% were male, 50.3% were older than 40 years, 43.8% were farmers, and 68.7% were from the north of Anhui Province. 16 of the 147 asymptomatic carriers developed symptoms in the following 14 days of isolated observation, and were subsequently diagnosed as confirmed cases. The possible latent infection period was found to range from 1–5 days before onset, with a median time of 2 days. The second attack rate for the 16 confirmed cases who had transferred from being asymptomatic carriers was 9.7% (23/236 close contacts), while for the 131 asymptomatic carriers the rate was 2.6% (24/914 close contacts), showing a significant difference in second attack rate between the two groups (
Detection of SARS-CoV-2 RNA residue on object surfaces in nucleic acid testing laboratory using droplet digital PCR;The rapid development of global COVID-19 pandemic poses an unprecedented challenge to the safety and quality of laboratory diagnostic testing. Little is known about the laboratory surface areas and operation behaviors that may cause potential contamination in SARS-CoV-2 nucleic acid testing. This study aims to provide reference basis for the improvement of laboratory disinfection programs and personal operating protocols. In this study, we compared the qRT-PCR and ddPCR in detecting of residual virus that existed on the object surfaces from sample transportation and reception related facilities, testing related instruments, personal protective equipment and other facilities in nucleic acid testing laboratory. All samples were negative by qRT-PCR, in contrast, 13 of 61 samples were positive for SARS-CoV-2 by ddPCR. The areas with highest density of SARS-CoV-2 nucleic acid were the outer gloves of operator A (37.4 copies/cm
Saliva is a reliable tool to detect SARS-CoV-2;This study analyzed salivary samples of COVID-19 patients and compared the results with their clinical and laboratory data.
NCAM protein and SARS-COV-2 surface proteins: In-silico hypothetical evidence for the immunopathogenesis of Guillain-Barré syndrome;This study aimed at identifying human neural proteins that can be attacked by cross-reacting SARS-COV-2 antibodies causing Guillain-Barré syndrome. These markers can be used for the diagnosis of Guillain-Barré syndrome (GBS). To achieve this goal, proteins implicated in the development of GBS were retrieved from literature. These human proteins were compared to SARS-COV-2 surface proteins to identify homologous sequences using Blastp. Then, MHC-I and MHC-II epitopes were determined in the homologous sequences and used for further analysis. Similar human and SARS-COV-2 epitopes were docked to the corresponding MHC molecule to compare the binding pattern of human and SARS-COV-2 proteins to the MHC molecule. Neural cell adhesion molecule is the only neural protein that showed homologous sequence to SARS-COV-2 envelope protein. The homologous sequence was part of HLA-A68 and HLA-DQA/HLA-DQB epitopes had a similar binding pattern to SARS-COV-2 envelope protein. Based on these results, the study suggests that NCAM may play a significant role in the immunopathogenesis of GBS. NCAM antibodies can be used as a marker for Guillain-Barré syndrome. However, more experimental studies are needed to prove these results.
DETECTION OF SARS-CoV-2 IN AIR OF TWO HOSPITAL IN HERMOSILLO, SONORA, MÉXICO, UTILIZING A LOW-COST ENVIRONMENTAL MONITORING SYSTEM;The best way of preventing the dispersion of an infectious disease is decreasing of transmissibility of pathogen. To achieve such goal, it is important to have an epidemiological surveillance to retrieve data about its routes of transmission and dispersion.
Use of Weather Variables in SARS-CoV-2 Transmission Studies;The persistence and intensity of the current severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) pandemic, and the advanced planning required to balance competing concerns of saving lives and avoiding economic collapse, may depend in part on whether the virus is sensitive to seasonal changes in environmental variables, such as temperature and humidity. Although multiple studies have sought to address possible effects of these variables on SARS–CoV-2 transmission, results of these studies have been varied. It is possible that at least some of the differing results are due to insufficient understanding of atmospheric science, including certain physical and chemical principles underlying selected meteorological variables, and how global seasons differ between tropical and temperate zones. The objective of this brief perspective is to provide information that may help explain some of the differing results of studies regarding the influence of environmental variables on transmissibility of SARS-CoV-2. This information may promote better variable selection and results interpretation in future studies of coronavirus disease 2019 (COVID-19) and other infectious diseases.
Estimating the infection-fatality risk of SARS-CoV-2 in New York City during the spring 2020 pandemic wave: a model-based analysis;As the COVID-19 pandemic continues to unfold, the infection-fatality risk (ie, risk of death among all infected individuals including those with asymptomatic and mild infections) is crucial for gauging the burden of death due to COVID-19 in the coming months or years. Here, we estimate the infection-fatality risk of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in New York City, NY, USA, the first epidemic centre in the USA, where the infection-fatality risk remains unclear.
Case studies of SARS-CoV-2 treated with favipiravir among patients in critical or severe condition;The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) outbreak is rising globally. However, clinically effective antiviral treatments are not established. Favipiravir may prevent pneumonia and acute respiratory distress syndrome aggravation. We describe SARS-CoV-2-positive patients, two of whom were in a critical condition and one of whom was in a severe condition, who were administered favipiravir for their deteriorating conditions and cured.
Differential immune activation profile of SARS-CoV-2 and SARS-CoV infection in human lung and intestinal cells: Implications for treatment with IFN-β and IFN inducer;Respiratory and intestinal tract are two primary target organs of SARS-CoV-2 infection. However, detailed characterization of the host-virus interplay in infected human lung and intestinal epithelial cells is lacking.
Hydroxychloroquine as an aerosol might markedly reduce and even prevent severe clinical symptoms after SARS-CoV-2 infection;Covid-19 is a new coronavirus disease first described in December 2019. This respiratory illness is severe and potentially fatal. Severe cases make up to 15%, lethality ranges between 1.5 and more than 10%. What is urgently needed is an efficient pharmacological treatment for the treatment of severe cases. During the infection of alveolar epithelial cells of the lung, the ACE2 receptor has a central function. The antimalarial drugs chloroquine phosphate (CQ) and hydroxychloroquine (HCQ) impair in vitro the terminal glycosylation of ACE2 without significant change of cell-surface ACE2 and, therefore, might be potent inhibitors of SARS-CoV-2 infections. Starting inhibition at 0.1 µM, CQ completely prevented in vitro infections at 10 µM, suggesting a prophylactic effect and preventing the virus spread 5 h after infection. In a first clinical trial, CQ was effective in inhibiting exacerbation of pneumonia, improving lung imaging findings, promotion of virus-negative conversion, and shortening the disease. In addition, HCQ, which is three times more potent than CQ in SARS-CoV-2 infected cells (EC50 0.72 µM), was significantly associated with viral load reduction/disappearance in COVID-19 patients compared to controls. Theoretically, CQ and HCQ could thus be effectively used in the treatment of SARS-CoV pneumonia. From a pharmacological standpoint, however, the major problems of oral treatment with these drugs are possible severe side effects and toxicity. Concretely, this relates to (a) the inconsistent individual bioavailability of these drugs at the alveolar target cells, depending on intestinal resorption, hepatic first-pass metabolism and accumulation in liver, spleen and lung, and (b) the need for a relatively high concentration of 1–5 µM at the alveolar surface.
Early SARS-CoV-2 outbreak detection by sewage-based epidemiology;Sewage can be used to determine the scale of COVID-19 outbreak. Sewage Epidemiology or Waste Based Epidemiology (WBE) approach has been successfully used to track and provide early warnings of outbreaks of pathogenic viruses such as Hepatitis A, Poliovirus and Norovirus. In untreated wastewater COVID-19 (excreted via faeces then introduced to wastewater) can survive from hours to days. Detection of COVID-19 can be carried out with nucleic acid−based polymerase chain reaction (PCR) assay, used for confirmation of COVID-19 patients around the globe. New cheaper and faster monitoring tools are being developed to detect Covid-19 in wastewater by biosensors, ELISA, or paper-based indicator methods. This will allow to reveal true scale of Covid-19 outbreak associated with population link to a specific wastewater treatment plant.
